Word/Sentence,Valence,Arousal
floral,0.8025,0.21625
wisdom,0.8675,0.34625
departmental,0.45875,0.39
big,0.58,0.41625
"Dopóki walczysz i podejmujesz starania, jesteś zwycięzcą.",0.78125,0.53875
agriculture,0.6375,0.25625
ukulele,0.5325,0.43999999999999995
sigh,0.41125,0.23875000000000002
rev,0.545,0.4125
convincing,0.575,0.40125
exact,0.5725,0.36875
frisky,0.69625,0.63125
veteran,0.7325,0.395
pious,0.36875,0.25
broadside,0.35,0.27
bounty,0.42125,0.48124999999999996
dung,0.3575,0.30625
"Cholerne pieniądze, zawsze w końcu człowiekowi ością w gardle staną.",0.365,0.61
brilliance,0.76125,0.53
tame,0.6425,0.33125
ambush,0.27125,0.5725
mildew,0.20124999999999998,0.39249999999999996
methadone,0.25625,0.345
finder,0.59625,0.41874999999999996
lecture,0.375,0.27
homeward,0.67125,0.405
interference,0.46375,0.355
revolver,0.2875,0.66125
jittery,0.29375,0.48624999999999996
quality,0.7325,0.33125
cult,0.22125,0.56
exceed,0.47375,0.565
payment,0.52,0.43000000000000005
amputate,0.1375,0.55375
school,0.55125,0.44625000000000004
seasoning,0.6725,0.19374999999999998
executor,0.36875,0.5125
assassin,0.13874999999999998,0.6025
sack,0.51375,0.405
poodle,0.6375,0.325
trafficking,0.19374999999999998,0.46499999999999997
bluejay,0.705,0.30375
executioner,0.15375,0.69875
superiority,0.49375,0.56
robotic,0.50625,0.44999999999999996
fiberglass,0.42125,0.19874999999999998
fossil,0.625,0.38749999999999996
basin,0.55875,0.22125
mistress,0.3575,0.62
wretch,0.30125,0.48124999999999996
showgirl,0.5475,0.595
insistence,0.5,0.57875
yield,0.52375,0.35625
rough,0.335,0.55375
pun,0.55625,0.3675
frustrated,0.19374999999999998,0.55
bathtub,0.6575,0.32875
unexpected,0.45999999999999996,0.5125
skull,0.32875,0.49750000000000005
satisfying,0.81,0.47875
virus,0.08875,0.45125000000000004
score,0.6875,0.66875
seasonal,0.6975,0.4125
fraction,0.52625,0.36875
frog,0.605,0.38375000000000004
whopper,0.56875,0.42374999999999996
fictional,0.61875,0.32625
champion,0.79125,0.4675
headband,0.52,0.29125
forearm,0.5725,0.34375
comparison,0.51375,0.24
"Kiedyś powiedziano mi, że kluczem do szczęścia są marzenia, które można zrealizować.",0.745,0.4
curb,0.45625000000000004,0.32375
impatient,0.31625,0.45125000000000004
hijack,0.10500000000000001,0.6375
vineyard,0.73,0.25
lotus,0.655,0.34625
accompany,0.55875,0.35625
nave,0.3625,0.315
liven,0.6375,0.605
infant,0.70625,0.38749999999999996
weave,0.55125,0.2625
nitwit,0.34375,0.37
shawl,0.48750000000000004,0.29375
exorcist,0.345,0.66125
lego,0.6425,0.50625
psyche,0.5,0.45125000000000004
demand,0.38749999999999996,0.60625
herpes,0.07125000000000001,0.5725
bright,0.73,0.5
curd,0.52375,0.42125
inquiry,0.51125,0.33375
infidel,0.3625,0.43999999999999995
exhilarated,0.7375,0.69375
ejection,0.3125,0.41125
honky,0.30625,0.345
bloom,0.675,0.48375
enchantress,0.6025,0.38749999999999996
prude,0.27125,0.29
puppeteer,0.6,0.40249999999999997
shift,0.49375,0.3525
sweeten,0.6575,0.46375
manageable,0.54125,0.25625
keyhole,0.54875,0.37
slob,0.185,0.4625
cove,0.58375,0.27125
handkerchief,0.59875,0.25625
tomb,0.3225,0.38249999999999995
urine,0.2375,0.4225
starvation,0.09,0.55625
squander,0.31875,0.36875
terrify,0.22999999999999998,0.67375
tinfoil,0.47375,0.28125
Drewno w wysokiej temperaturze ulega reakcji spalania.,0.48,0.22249999999999998
organize,0.71875,0.38125
coed,0.585,0.3275
character,0.6425,0.41874999999999996
eastbound,0.58125,0.15000000000000002
"Ja rozumiem, że Edek nie myje zębów, ale jeśli już używa mojej szczoteczki, to nie do czyszczenia butów!",0.2975,0.6775
trajectory,0.48624999999999996,0.29125
county,0.5225,0.3
consequence,0.3575,0.41374999999999995
physicist,0.6125,0.30125
indicate,0.50625,0.29
shall,0.6075,0.315
paradigm,0.56875,0.46375
cautious,0.63125,0.32125
serendipity,0.74375,0.27875
lid,0.5175,0.23875000000000002
circumference,0.53,0.21375
familiarity,0.725,0.20875
pharmacy,0.50625,0.335
potion,0.58125,0.515
conservatory,0.5225,0.33125
kidnapper,0.09625,0.69
jar,0.58875,0.22125
horror,0.2975,0.64125
edible,0.71,0.51875
valuable,0.77125,0.35625
pig,0.47875,0.335
cuddle,0.825,0.35375
literal,0.605,0.41874999999999996
forgetful,0.32375,0.43125
impersonator,0.40125,0.36875
amendment,0.575,0.3125
baptize,0.57375,0.29
yak,0.41500000000000004,0.355
toss,0.5,0.39749999999999996
unleash,0.44999999999999996,0.5175
determine,0.625,0.45999999999999996
jockstrap,0.3125,0.41625
shoes,0.61,0.32125
esophagus,0.4375,0.345
admiral,0.475,0.38125
enjoyable,0.82875,0.47124999999999995
swivel,0.5325,0.4525
battered,0.24375000000000002,0.3575
"Niektóre zachowania powodują nie tylko niechęć, ale wręcz  gardzenie sobą.",0.21625,0.62
yank,0.43374999999999997,0.4375
headstone,0.18125000000000002,0.39749999999999996
tassel,0.49375,0.47250000000000003
scruffy,0.4275,0.4225
rationalize,0.55875,0.32375
unprovoked,0.49375,0.3275
interoffice,0.41500000000000004,0.33375
milkman,0.59375,0.21625
must,0.55625,0.38749999999999996
tax,0.25,0.43999999999999995
thug,0.19,0.56
greyhound,0.61875,0.3625
telepathic,0.6125,0.4525
sanitary,0.66625,0.26125
discourse,0.2725,0.40874999999999995
refrigerator,0.595,0.28125
legit,0.73125,0.475
woo,0.67125,0.41625
orgasm,0.87625,0.77375
indulgent,0.48250000000000004,0.45999999999999996
signal,0.53375,0.38125
nurture,0.7675,0.39
shakedown,0.38125,0.56875
discomfort,0.22999999999999998,0.42874999999999996
humpback,0.5125,0.33
underbelly,0.4275,0.3425
monitor,0.50625,0.3575
warranty,0.5625,0.23249999999999998
strike,0.2575,0.565
idealism,0.61875,0.45875
Okazanie wrażliwości na innych daje niesamowite poczucie współbrzmienia.,0.67125,0.38125
majestic,0.7675,0.395
indictment,0.36125,0.53125
poop,0.2,0.5175
humankind,0.74375,0.47875
foresee,0.58375,0.33
trousers,0.51875,0.23625000000000002
strut,0.575,0.5575
protestant,0.4375,0.25
hype,0.55125,0.6125
autopsy,0.2025,0.42000000000000004
respectability,0.6575,0.405
chatter,0.6125,0.43000000000000005
"Nie ma nic smutniejszego, niż spustoszenia jakie czyni starość.",0.2575,0.39125
taxi,0.47375,0.34875
divorcee,0.28625,0.35
arm,0.555,0.305
pussy,0.43500000000000005,0.6625
mortgage,0.30625,0.42874999999999996
annihilate,0.26875,0.68
toughen,0.54625,0.41000000000000003
monotonous,0.25625,0.21000000000000002
premises,0.50625,0.375
reign,0.55,0.39625
automobile,0.55625,0.36375
pressure,0.32,0.43500000000000005
fondness,0.835,0.31875
"Na dnie oceanu, we wraku starego statku, odnaleziono niezwykle cenny skarb.",0.77375,0.5025
pore,0.46375,0.265
university,0.74375,0.405
mail,0.66,0.35125
asphyxia,0.14875,0.6425
desist,0.40874999999999995,0.355
place,0.6075,0.315
mocha,0.69125,0.295
solo,0.61375,0.39
trucker,0.4525,0.31875
distraction,0.38125,0.3675
decoy,0.45125000000000004,0.36375
quilt,0.61375,0.26375
gimp,0.2375,0.28625
aorta,0.41874999999999996,0.33
shortcake,0.73625,0.39249999999999996
browse,0.55875,0.32125
charmer,0.69125,0.47375
repaint,0.4525,0.29375
bug,0.30625,0.6325
hog,0.44375,0.2375
sanctum,0.51125,0.3425
mailman,0.54,0.29
visor,0.5325,0.2675
loco,0.44125000000000003,0.475
aspire,0.67875,0.335
ultrasound,0.5175,0.51875
purchase,0.68375,0.5125
reproach,0.5325,0.4125
acid,0.2825,0.47124999999999995
recharge,0.665,0.47624999999999995
coveted,0.61875,0.485
forceful,0.3375,0.545
interpretive,0.52,0.2375
lockup,0.27375,0.38875000000000004
valium,0.45499999999999996,0.20875
teeth,0.5,0.35
relish,0.44375,0.43125
alcoholic,0.18625000000000003,0.56
mascara,0.47375,0.44375
gerbil,0.525,0.19874999999999998
feeling,0.6875,0.3575
Na śmierć zapominam o swoim raku wobec ogarniającego mnie smutku.,0.16375,0.4475
sundial,0.61875,0.2775
unexplained,0.44999999999999996,0.48250000000000004
decryption,0.47624999999999995,0.39
writ,0.4375,0.39749999999999996
period,0.29125,0.4
homosexual,0.45625000000000004,0.33375
cousin,0.63875,0.2
enigma,0.54375,0.45625000000000004
clinic,0.49375,0.24375000000000002
Nawet w obliczu śmierci przyjemna jest świadomość posiadania przyjaciela.,0.71875,0.41625
nerdy,0.45999999999999996,0.4125
catfish,0.53,0.4075
thaw,0.49375,0.355
senior,0.47375,0.305
jig,0.49375,0.49375
payback,0.51125,0.60625
beg,0.34,0.45625000000000004
windowsill,0.63125,0.1875
archdiocese,0.36875,0.30125
stink,0.16875,0.43500000000000005
approve,0.75,0.38625
progression,0.65125,0.24375000000000002
nail,0.44999999999999996,0.25625
victory,0.82375,0.6125
attic,0.49375,0.30625
decorator,0.67875,0.26875
alzheimers,0.15749999999999997,0.4375
monstrous,0.30375,0.6125
feverish,0.26125,0.54375
cellist,0.605,0.35625
trident,0.54625,0.42000000000000004
penetration,0.60125,0.78125
disgusted,0.21000000000000002,0.48624999999999996
screening,0.47124999999999995,0.39249999999999996
pending,0.34875,0.44375
fatherly,0.69125,0.3175
adjustment,0.56625,0.44875
centennial,0.5725,0.23249999999999998
bucko,0.47250000000000003,0.29
"Kiedy dotkam jego policzka, wzdryga się i całym ciałem od stóp do głów wstrząsają drgawki.",0.54625,0.6375
lunar,0.64375,0.5625
terrorize,0.1875,0.61875
turret,0.44375,0.47624999999999995
screenplay,0.58125,0.38625
recycling,0.65625,0.315
snuggle,0.82875,0.5675
matchmaker,0.57875,0.375
adrenalin,0.66625,0.50625
monolith,0.53,0.32125
installment,0.4275,0.42874999999999996
nut,0.555,0.405
discouraged,0.2725,0.2975
farce,0.41625,0.37
proud,0.75,0.56875
medicine,0.6125,0.375
pencil,0.58125,0.26375
guide,0.55375,0.29125
tribe,0.57875,0.41125
gorgeous,0.82125,0.49
outbid,0.48250000000000004,0.51875
spokesman,0.48750000000000004,0.2375
cahoots,0.48,0.42374999999999996
ledger,0.54125,0.28
glimmer,0.71,0.4475
upbringing,0.665,0.40874999999999995
parliament,0.48750000000000004,0.22625
dismay,0.2625,0.23125
topaz,0.56875,0.35875
crippling,0.21375,0.485
anguished,0.22249999999999998,0.47375
epilepsy,0.21250000000000002,0.5
gallows,0.25625,0.50625
fiddler,0.5775,0.35875
radical,0.42000000000000004,0.53375
mineral,0.63125,0.23249999999999998
repairman,0.5,0.35375
anal,0.375,0.41125
employee,0.53625,0.45625000000000004
plasma,0.63125,0.5375
awakening,0.67625,0.45875
"Przez kobiety upadły imperia, bo namiętność to koło zamachowe historii.",0.52125,0.5025
anticipate,0.625,0.5875
rug,0.5,0.28
excitable,0.585,0.55375
rope,0.50625,0.4475
scented,0.6775,0.39875000000000005
shower,0.77375,0.39375000000000004
hyena,0.45499999999999996,0.45375
frenzy,0.4,0.62
scholastic,0.70375,0.35
congress,0.31875,0.32625
modest,0.6775,0.24125000000000002
blitz,0.575,0.6125
readiness,0.655,0.365
flyboy,0.4625,0.41625
"Tajemnica zachowania młodości polega na tym, żeby nie doznawać uczuć, z którymi nie jest nam do twarzy",0.46125000000000005,0.34125
steakhouse,0.7425,0.36875
zephyr,0.5625,0.30125
paddle boat,0.60625,0.25625
troublemaker,0.28125,0.53
resourceful,0.78125,0.375
stroller,0.59375,0.2775
fare,0.48250000000000004,0.16249999999999998
refill,0.56,0.315
alibi,0.395,0.4375
riveting,0.61875,0.485
abrasive,0.4075,0.6375
obligatory,0.3675,0.325
karmic,0.57875,0.40249999999999997
wrap,0.57125,0.35625
philistine,0.315,0.29125
tome,0.53625,0.44999999999999996
crazy,0.5175,0.6125
Kiedy widzę człowieka cierpiącego moim ciałem współodczuwam jego ból.,0.26,0.5025
lumber,0.58125,0.29
maestro,0.6425,0.3375
fruit punch,0.74375,0.46875
playbook,0.6425,0.44125000000000003
bunion,0.31,0.38875000000000004
intercourse,0.7775,0.6875
strength,0.71625,0.5375
news,0.495,0.45125000000000004
torment,0.19124999999999998,0.64625
eight,0.54625,0.31
heavyweight,0.42125,0.35375
ode,0.59375,0.22625
incorrect,0.26125,0.3275
harm,0.11374999999999999,0.6125
carnage,0.2875,0.59625
armored,0.58375,0.315
fleece,0.59875,0.33875
"Przyjemnie jest leżeć na plaży, kiedy ostatnie promienie zachodzącego słońca muskają nam skórę.",0.81375,0.245
"Kiedy słyszę słowo łasuch, od razu mam przed oczami jowialnego pana z ciastkami pełnymi kremu w obu rękach.",0.645,0.40625
sleaze,0.24375000000000002,0.39
videotape,0.585,0.45875
subscriber,0.58875,0.24375000000000002
ignorant,0.28,0.39749999999999996
lip,0.6725,0.44999999999999996
"Mężczyzno! puchu marny, ty wietrzna istoto!",0.40625,0.43500000000000005
outstretched,0.52375,0.39249999999999996
"Owczarz nie miał jednej nogi, a na drugą kulał.",0.3275,0.4525
governmental,0.23625000000000002,0.35
matador,0.5,0.41874999999999996
cracker,0.51375,0.33
independent,0.7325,0.71875
"Pragnienie jest czymś co nas pobudza do działania generując napięcie, którego chcemy się pozbyć.",0.575,0.515
spectacle,0.57625,0.42500000000000004
racketeering,0.28125,0.33125
glide,0.6375,0.4475
steering,0.48750000000000004,0.2775
springtime,0.83,0.4225
buoy,0.6125,0.21000000000000002
corn,0.61875,0.30375
pajama,0.7325,0.42125
horde,0.40125,0.50625
waste,0.20124999999999998,0.38
triad,0.41500000000000004,0.43125
emotional,0.51375,0.54
rhinestone,0.5525,0.30625
beverage,0.77125,0.2975
disdain,0.33875,0.27625
primate,0.605,0.24375000000000002
range,0.51375,0.3625
rebellious,0.36125,0.68125
real,0.76125,0.38125
hairy,0.35,0.3125
install,0.61875,0.34
wino,0.25625,0.28125
paramedic,0.52,0.48750000000000004
slit,0.4075,0.40375000000000005
pedicure,0.6425,0.3475
morn,0.3275,0.25
Wszyscy są równi przynajmniej pod jednym względem: każdego czeka śmierć.,0.43500000000000005,0.39625
extensive,0.53125,0.46875
slaughterhouse,0.21000000000000002,0.72
apt,0.58,0.38125
stigma,0.3625,0.53
timber,0.48750000000000004,0.34125
tunnel,0.43500000000000005,0.38625
"Tomek od lat pomaga bezinteresownie starszej, chorej sąsiadce.",0.84625,0.3425
simplistic,0.67875,0.36
apron,0.6,0.2375
cyclone,0.30875,0.51125
nonfiction,0.61875,0.35625
clipper,0.58375,0.305
accident,0.19374999999999998,0.49124999999999996
desperado,0.42500000000000004,0.30125
gasp,0.4375,0.57625
murder,0.06,0.655
correlation,0.51125,0.27875
feign,0.43125,0.34
taffy,0.61875,0.30625
single,0.54875,0.35625
intensity,0.52375,0.75625
cervix,0.43125,0.4475
horned,0.4,0.45125000000000004
flute,0.66125,0.34
hilltop,0.64375,0.26125
layover,0.29625,0.38749999999999996
handicapped,0.255,0.36875
closeness,0.73125,0.3625
soulless,0.21375,0.47
mousetrap,0.47750000000000004,0.38125
commune,0.5,0.34625
evacuate,0.3,0.52125
provoke,0.2875,0.715
drafty,0.4125,0.34125
proximity,0.43374999999999997,0.35625
inaugural,0.5,0.3475
solvent,0.47375,0.22125
fit,0.66,0.41874999999999996
unfinished,0.405,0.295
mental,0.4475,0.335
okra,0.56875,0.28375
aroused,0.61875,0.7875
nervousness,0.2625,0.43125
upper,0.5875,0.315
park,0.75,0.21250000000000002
arrive,0.67625,0.5
suspicion,0.29125,0.63
retaliate,0.31875,0.50625
blase,0.4325,0.3275
manure,0.27375,0.39375000000000004
available,0.7325,0.38
silencer,0.3625,0.32125
microfilm,0.56625,0.3125
money,0.7625,0.7325
escalating,0.47,0.4375
poultry,0.58375,0.36875
rehash,0.40625,0.34875
shining,0.605,0.36125
incur,0.475,0.375
whore,0.21250000000000002,0.66125
prelim,0.525,0.3275
willing,0.72875,0.21999999999999997
sincere,0.7325,0.36375
hypnosis,0.59,0.38749999999999996
gradual,0.5125,0.24375000000000002
garnet,0.63875,0.405
pony,0.71375,0.41125
adrenaline,0.70125,0.61875
Zasmucenie wywołują doniesienia o bezmyślnym wyniszczaniu przyrody.,0.28375,0.45999999999999996
mow,0.49250000000000005,0.39625
adjoining,0.5075,0.315
heir,0.66125,0.375
devastating,0.13624999999999998,0.5625
sour,0.36875,0.49375
"Jeśli cena nie gra roli, to prawie wszystko na tym świecie jest możliwe.",0.615,0.51625
nurse,0.55125,0.45499999999999996
trifle,0.475,0.38249999999999995
palm,0.63125,0.20875
flabby,0.29875,0.29875
proprietary,0.44375,0.29875
orb,0.5,0.4075
endanger,0.20875,0.46499999999999997
fertile,0.75,0.55125
perfume,0.6975,0.41000000000000003
hive,0.375,0.41000000000000003
abdominal,0.43500000000000005,0.3125
garment,0.57125,0.3125
movement,0.6975,0.375
new age,0.50625,0.42374999999999996
resort,0.845,0.395
marvel,0.605,0.47124999999999995
wedding,0.79375,0.54
puffing,0.38249999999999995,0.44125000000000003
security,0.67625,0.39875000000000005
outback,0.5375,0.34
compulsory,0.395,0.34
roman,0.56875,0.42000000000000004
layer,0.525,0.30625
unexplainable,0.5,0.3675
businessman,0.5475,0.295
diplomatic,0.6125,0.43125
"Chciał zabić swoją żonę, ponieważ nie zgadzała się dać mu rozwodu.",0.14875,0.5875
kinetic,0.51375,0.49375
muzzle,0.36875,0.45625000000000004
pulp,0.49250000000000005,0.3525
award,0.8575,0.60625
boob,0.53625,0.5375
cartoon,0.7175,0.50625
definite,0.59875,0.39875000000000005
epidemic,0.13124999999999998,0.6475
congenital,0.38875000000000004,0.39125
inclined,0.49375,0.34875
forklift,0.4675,0.39625
heel,0.45375,0.44375
decimal,0.45999999999999996,0.29375
tranquil,0.76375,0.20124999999999998
Kwadrans po trzeciej ruszam ścieżką powoli i rozglądam się cały czas dookoła.,0.4525,0.3225
widen,0.5,0.3075
play,0.81875,0.35125
confer,0.51125,0.185
recant,0.36125,0.4375
listen,0.73875,0.345
avail,0.5525,0.34625
penal,0.31875,0.305
network,0.50625,0.42874999999999996
scum,0.14,0.525
Od grupki studentów odłączyła się seksowna blondynka i podeszła do nas.,0.68375,0.47875
stand,0.53375,0.2625
boxing,0.43374999999999997,0.59125
pavilion,0.6375,0.255
readout,0.49375,0.28
engaged,0.7225,0.525
reproduce,0.57875,0.45125000000000004
extinguisher,0.47,0.42874999999999996
ale,0.61875,0.38749999999999996
Litość jest to uczucie równie przykre dla ofiarowującego jak i dla przyjmującego.,0.3725,0.39125
wobbly,0.46375,0.47124999999999995
vengeful,0.14500000000000002,0.5175
stewardess,0.6125,0.39249999999999996
cystic,0.27375,0.31875
semantics,0.5,0.40125
shopper,0.53625,0.3675
swimming,0.775,0.51625
looker,0.63125,0.485
lefty,0.5875,0.29125
sickbay,0.33125,0.39749999999999996
cutting board,0.54375,0.35375
vaccine,0.685,0.68125
dick,0.2575,0.575
enslave,0.20875,0.54375
emphysema,0.18375000000000002,0.40625
training,0.52375,0.38749999999999996
darn,0.35125,0.27125
Podziw dla dokonań innych ludzi może podpowiedzieć jak lepiej spędzić życie.,0.6175,0.36625
disinfect,0.51375,0.375
associate,0.525,0.26375
knowledgeable,0.86875,0.45625000000000004
breakup,0.14875,0.66625
itinerary,0.6375,0.28375
